;;IGREJA DO EVANGELHO QUADRANGULAR;;;;;
;RELATÓRIO ESTATÍSTICO E FINANCEIRO DE CULTO MENSAL;;;;;;
;                    TABERNÁCULO DA FAMÍLIA    ;;;;;;
;PASTOR: MARCELO PONTES;;;;;;
;ENDEREÇO: RUA 30 QUADRA 46 Nº 232 - CONJ PROMORAR;;;;;;
;;;;;;;
MÊS / ANO;Nº MEMBROS;;120;Nº VISITANTES MÊS;;;25
;Nº CÉLULAS;;11;Nº ACEITAÇÕES E ;;;0
Julho;;;;RECONCILIAÇÕES;;;
;;;;;;;
2026;Nº BATISMOS NAS;;0;Nº BATISMOS C/ ;;;0
;ÁGUAS;;;ESPÍRITO SANTO;;;
;                 DEMONSTRATIVO FINANCEIRO;;;;;;
;;;;;;;
ARRECADAÇÃO;; R$ 4.300,00 ;;TOTAL DE SAÍDAS;;; R$ 4.343,84 
;;;;;;;;;;
OFERTA DE MISSÕES;; R$ 50,00 ;;SEDE (25%);;; R$ 1.075,00 ;;;
;;;;;;;;;;
                                                                DESCRIMINAÇÃO DE SAÍDAS;;;;;;;;;;
;;;;;;;;;;
            DATA;                                     DESCRIMINAÇÃO;;;;;           VALOR;;;;
;;;;;;; R$ -   ;;;
;;;;;;; R$ -   ;;;
;;;;;;; R$ -   ;;;
;TAXA ÁGUA;;;;;; R$ 195,70 ;;;
;TAXA DE LUZ;;;;;; R$ 1.073,14 ;;;
;SUSTENTO PASTORAL;;;;;; R$ 2.000,00 ;;;
;TAXA REGIÃO (25%);;;;;; R$ 1.075,00 ;;;
;TOTAL DE SAÍDAS;;;;;; R$ 4.343,84 ;;;-R$ 43,84 

;;;;;;;;;;
;;;;;;;
